,Date,Open,High,Low,Close,Adj Close,Volume
53,2024-03-19,27.6,28.725,27.5,28.48,28.48,947700
54,2024-03-20,28.4,28.51,27.370001,28.49,28.49,1243000
55,2024-03-21,28.639999,28.9,27.360001,28.02,28.02,1416000
56,2024-03-22,27.870001,27.98,27.620001,27.639999,27.639999,1097800
57,2024-03-25,27.889999,27.889999,26.73,26.91,26.91,2021300
58,2024-03-26,27.18,27.32,26.66,26.99,26.99,1576400
59,2024-03-27,27.26,27.349001,26.844999,26.99,26.99,1745200
60,2024-03-28,26.99,27.200001,26.775,26.91,26.91,1429700
61,2024-04-01,26.969999,26.969999,25.423,26.41,26.41,3428900
62,2024-04-02,25.99,25.99,25.389999,25.799999,25.799999,2178100
63,2024-04-03,25.639999,26.040001,25.120001,25.700001,25.700001,1516000
64,2024-04-04,26.18,26.5,25.6,25.6,25.6,2058200
65,2024-04-05,25.540001,25.940001,25.495001,25.809999,25.809999,1059300
66,2024-04-08,25.99,26.247,25.58,25.780001,25.780001,3215900
67,2024-04-09,25.85,26.76,25.844999,26.42,26.42,1068000
68,2024-04-10,25.809999,26.09,25.790001,25.85,25.85,939100
69,2024-04-11,26.1,26.49,25.83,26.42,26.42,1054100
70,2024-04-12,26.200001,26.440001,25.65,25.870001,25.870001,1381800
71,2024-04-15,25.99,26.075001,25.389999,25.42,25.42,1808600
72,2024-04-16,25.190001,25.219999,24.73,25.059999,25.059999,2681600
73,2024-04-17,25.190001,25.65,25.120001,25.190001,25.190001,1144800
74,2024-04-18,25.190001,25.459999,24.799999,24.82,24.82,1334800
75,2024-04-19,24.799999,25.15,24.42,24.629999,24.629999,1679000
76,2024-04-22,24.629999,24.83,24.35,24.790001,24.790001,885100
77,2024-04-23,24.610001,25.155001,24.555,24.58,24.58,1363700
78,2024-04-24,24.639999,24.84,23.809999,23.91,23.91,1800300
79,2024-04-25,23.82,23.879999,23.26,23.59,23.59,2225500
80,2024-04-26,23.66,24.1,23.540001,23.82,23.82,874500
81,2024-04-29,24.0,24.559999,23.99,24.27,24.27,1092500
82,2024-04-30,24.0,24.52,23.98,24.290001,24.290001,995400
83,2024-05-01,24.33,24.625,23.945,24.01,24.01,1428700
84,2024-05-02,24.280001,24.421,23.83,24.32,24.32,741500
85,2024-05-03,24.76,24.959,24.07,24.09,24.09,716700
86,2024-05-06,24.27,24.610001,23.91,24.6,24.6,944300
87,2024-05-07,24.66,24.690001,24.190001,24.370001,24.370001,1303300
88,2024-05-08,24.07,24.094999,23.620001,23.879999,23.879999,928300
89,2024-05-09,23.92,24.16,23.6,23.76,23.76,1196800
90,2024-05-10,23.879999,24.059999,23.030001,23.370001,23.370001,1598400
91,2024-05-13,23.58,23.605,22.959999,22.99,22.99,1900300
92,2024-05-14,23.299999,24.26,23.299999,23.51,23.51,1828700
93,2024-05-15,23.879999,23.93,23.27,23.85,23.85,2204700
94,2024-05-16,23.85,23.959999,23.52,23.74,23.74,4906100
95,2024-05-17,28.809999,29.0,26.209999,28.030001,28.030001,9982900
